TimeSinceStart_s;Temperature;Humidity;Latitude;Longitude;Altitude;TimeUTC;PM1_0;PM2_5;PM4_0;PM10_0
1525;29.44;35.35;47.396122;8.515725;462.30;9162200.00000;4.00;4.23;4.23;4.23
1530;29.62;35.43;47.396179;8.515441;457.30;9162700.00000;4.13;4.36;4.36;4.36
1535;29.99;35.31;47.396252;8.515179;455.70;9163200.00000;4.17;4.41;4.41;4.41
1540;30.48;34.99;47.396294;8.514979;455.20;9163700.00000;4.23;4.48;4.48;4.48
1545;30.67;33.69;47.396294;8.514947;454.40;9164200.00000;4.13;4.37;4.37;4.37
1550;30.62;33.29;47.396286;8.514892;452.80;9164700.00000;4.03;4.26;4.26;4.26
1555;30.53;33.22;47.396275;8.514875;453.60;9165200.00000;3.98;4.21;4.21;4.21
1560;30.51;32.72;47.396267;8.514871;454.00;9165700.00000;4.20;4.44;4.44;4.44
1565;30.75;33.67;47.396290;8.514710;454.50;9170200.00000;4.27;4.52;4.52;4.52
1570;31.22;34.05;47.396328;8.514469;456.70;9170700.00000;4.19;4.43;4.43;4.43
1575;31.56;33.64;47.396347;8.514221;457.60;9171200.00000;4.29;4.54;4.54;4.54
1580;31.79;33.31;47.396362;8.513971;455.00;9171700.00000;4.69;4.96;4.96;4.96
1585;31.79;32.73;47.396412;8.513784;446.20;9172200.00000;4.96;5.24;5.24;5.24
1590;31.95;32.71;47.396431;8.513636;442.40;9172700.00000;4.95;5.24;5.24;5.24
1595;31.95;32.73;47.396435;8.513393;444.30;9173200.00000;4.71;4.98;4.98;4.98
1600;31.99;32.63;47.396454;8.513094;443.50;9173700.00000;4.44;4.69;4.69;4.69
1605;32.01;32.22;47.396511;8.512739;436.10;9174200.00000;4.24;4.48;4.48;4.48
1610;31.91;32.14;47.396530;8.512356;434.50;9174700.00000;4.00;4.23;4.23;4.23
1615;31.87;32.43;47.396553;8.511954;433.60;9175200.00000;3.80;4.02;4.02;4.02
1620;31.87;32.34;47.396606;8.511594;434.70;9175700.00000;3.98;4.21;4.21;4.21
1625;31.78;32.43;47.396633;8.511202;437.50;9180200.00000;4.14;4.37;4.37;4.37
1630;31.70;32.45;47.396690;8.510840;439.20;9180700.00000;4.23;4.47;4.47;4.47
1635;31.64;32.35;47.396767;8.510491;435.00;9181200.00000;4.22;4.46;4.46;4.46
1640;31.57;32.15;47.396858;8.510094;435.40;9181700.00000;4.25;4.50;4.50;4.50
1645;31.38;32.07;47.396976;8.509757;433.80;9182200.00000;4.19;4.43;4.43;4.43
1650;31.32;32.46;47.397087;8.509386;433.00;9182700.00000;3.95;4.18;4.18;4.18
1655;31.27;32.38;47.397205;8.508998;435.30;9183200.00000;3.90;4.13;4.13;4.13
1660;31.30;32.48;47.397331;8.508635;435.30;9183700.00000;4.01;4.24;4.24;4.24
1665;31.24;32.87;47.397446;8.508371;436.90;9184100.00000;4.07;4.31;4.31;4.31
1670;31.24;33.46;47.397575;8.508054;440.00;9184600.00000;3.97;4.19;4.19;4.19
1675;31.37;33.74;47.397720;8.507758;442.40;9185100.00000;3.91;4.13;4.13;4.13
1680;31.32;33.54;47.397869;8.507499;443.10;9185600.00000;3.95;4.18;4.18;4.18
1685;31.44;33.25;47.398010;8.507171;446.10;9190100.00000;4.03;4.26;4.26;4.26
1690;31.49;32.95;47.398155;8.506890;448.10;9190600.00000;4.14;4.38;4.38;4.38
1695;31.56;32.94;47.398308;8.506630;447.90;9191100.00000;4.18;4.42;4.42;4.42
1700;31.68;33.14;47.398464;8.506329;448.50;9191600.00000;3.94;4.17;4.17;4.17
1705;31.66;33.04;47.398632;8.506007;451.60;9192100.00000;4.01;4.24;4.24;4.24
1710;31.63;32.94;47.398811;8.505702;453.70;9192600.00000;4.26;4.51;4.51;4.51
1715;31.08;32.78;47.399048;8.505550;454.90;9193100.00000;4.42;4.68;4.68;4.68
1720;30.55;33.12;47.399300;8.505508;454.80;9193600.00000;4.51;4.77;4.77;4.77
1725;30.26;34.11;47.399490;8.505428;455.70;9194100.00000;4.61;4.87;4.87;4.87
1730;30.15;34.61;47.399681;8.505218;456.70;9194600.00000;4.76;5.04;5.04;5.04
1735;30.26;34.61;47.399822;8.504876;457.80;9195100.00000;4.62;4.89;4.89;4.89
1740;30.30;34.89;47.399971;8.504539;457.80;9195600.00000;4.44;4.70;4.70;4.70
1745;30.55;35.26;47.400116;8.504236;457.10;9200100.00000;4.78;5.05;5.05;5.05
1750;30.77;34.77;47.400272;8.503955;456.30;9200600.00000;5.10;5.39;5.39;5.39
1755;30.90;34.36;47.400452;8.503681;457.40;9201100.00000;5.20;5.50;5.50;5.50
1760;31.04;34.25;47.400600;8.503432;458.50;9201600.00000;5.25;5.56;5.56;5.56
1765;31.14;33.65;47.400742;8.503117;459.20;9202100.00000;5.46;5.78;5.78;5.78
1770;31.26;33.54;47.400848;8.502815;460.60;9202600.00000;5.31;5.62;5.62;5.62
1775;31.51;33.43;47.400967;8.502478;462.40;9203100.00000;4.90;5.18;5.18;5.18
1780;31.54;33.44;47.401093;8.502200;461.20;9203600.00000;4.70;4.97;4.97;4.97
1785;31.45;33.05;47.401234;8.501864;459.60;9204100.00000;4.60;4.86;4.86;4.86
1790;31.33;32.56;47.401394;8.501594;455.70;9204600.00000;4.65;4.92;4.92;4.92
1795;31.12;32.78;47.401543;8.501576;455.40;9205100.00000;4.61;4.88;4.88;4.88
1800;30.67;33.10;47.401711;8.501672;456.50;9205600.00000;4.61;4.88;4.88;4.88
1805;30.18;33.82;47.401878;8.501758;455.70;9210100.00000;5.34;5.65;5.65;5.65
1810;29.84;34.33;47.401974;8.501837;458.40;9210600.00000;5.65;5.97;5.97;5.97
1815;29.61;35.23;47.401932;8.501944;462.00;9211100.00000;5.60;5.92;5.92;5.92
1820;29.24;35.56;47.401848;8.502106;466.10;9211600.00000;5.38;5.69;5.69;5.69
1825;29.13;35.96;47.401749;8.502219;469.60;9212100.00000;5.06;5.35;5.35;5.35
1830;28.86;35.97;47.401707;8.502393;472.90;9212600.00000;4.91;5.19;5.19;5.19
1835;28.71;36.38;47.401604;8.502660;474.10;9213100.00000;4.78;5.05;5.05;5.05
1840;28.38;36.42;47.401501;8.502980;474.90;9213600.00000;4.54;4.81;4.81;4.81
1845;27.94;36.44;47.401405;8.503284;476.90;9214100.00000;4.26;4.51;4.51;4.51
1850;27.87;36.95;47.401283;8.503572;477.40;9214600.00000;4.18;4.42;4.42;4.42
1855;27.50;37.26;47.401070;8.503818;476.40;9215100.00000;4.03;4.26;4.26;4.26
1860;27.20;37.77;47.400875;8.504138;474.50;9215600.00000;3.96;4.19;4.19;4.19
1865;27.03;38.78;47.400673;8.504440;472.30;9220100.00000;3.91;4.13;4.13;4.13
1870;26.83;39.29;47.400551;8.504588;470.30;9220600.00000;3.84;4.06;4.06;4.06
1875;26.61;38.90;47.400383;8.504953;470.80;9221100.00000;3.73;3.94;3.94;3.94
1880;26.60;39.02;47.400265;8.505203;470.00;9221600.00000;3.46;3.66;3.66;3.66
1885;26.52;39.91;47.400146;8.505486;473.00;9222100.00000;3.30;3.49;3.49;3.49
1890;26.56;40.20;47.400043;8.505724;473.70;9222600.00000;3.60;3.81;3.81;3.81
1895;26.43;40.11;47.399963;8.505926;474.70;9223100.00000;3.93;4.16;4.16;4.16
1900;26.34;40.33;47.399899;8.506123;477.00;9223600.00000;3.98;4.21;4.21;4.21
1905;26.46;40.90;47.399990;8.506310;478.10;9224100.00000;4.02;4.25;4.25;4.25
1910;26.61;41.49;47.400124;8.506422;478.70;9224600.00000;4.08;4.31;4.31;4.31
1915;26.86;40.76;47.400253;8.506430;476.40;9225100.00000;4.28;4.52;4.52;4.52
1920;27.31;40.84;47.400372;8.506367;474.90;9225600.00000;4.27;4.51;4.51;4.51
1925;27.75;40.58;47.400490;8.506297;475.80;9230100.00000;4.22;4.46;4.46;4.46
1930;28.38;39.78;47.400612;8.506218;479.10;9230600.00000;4.26;4.50;4.50;4.50
1935;28.86;39.15;47.400742;8.506122;479.00;9231100.00000;4.33;4.58;4.58;4.58
1940;29.36;38.51;47.400871;8.506017;474.90;9231600.00000;4.18;4.42;4.42;4.42
1945;29.59;37.79;47.401005;8.505925;474.60;9232100.00000;4.21;4.45;4.45;4.45
1950;29.92;36.88;47.401119;8.505857;475.70;9232600.00000;4.22;4.46;4.46;4.46
1955;30.32;36.08;47.401226;8.505774;477.20;9233100.00000;4.08;4.31;4.31;4.31
1960;30.56;35.28;47.401333;8.505677;479.10;9233600.00000;4.09;4.33;4.33;4.33
1965;30.83;34.56;47.401440;8.505569;480.10;9234100.00000;4.31;4.56;4.56;4.56
1970;31.32;34.62;47.401535;8.505462;482.00;9234600.00000;4.38;4.64;4.64;4.64
1975;31.70;33.72;47.401627;8.505413;482.80;9235100.00000;4.25;4.49;4.49;4.49
1980;32.19;33.50;47.401707;8.505305;483.50;9235600.00000;4.27;4.51;4.51;4.51
